@relation R_data_frame

@attribute Agriculture_intensity numeric
@attribute Major_crop_type numeric
@attribute Settlement_pattern numeric
@attribute Political_complexity numeric
@attribute Plow_cultivation numeric
@attribute Animal_type {'Absence or near absence',Bovine,Camelids,Deer,Equine,Pigs,Sheep/goats}
@attribute Milking {'Absence or near absence','More than sporadically'}
@attribute Population_size numeric
@attribute Amphibian_richness numeric
@attribute Bird_richness numeric
@attribute Mammal_richness numeric
@attribute Plants_richness numeric
@attribute Annual_NPP_Var numeric
@attribute Monthly_mean_NPP numeric
@attribute NPP_Constancy numeric
@attribute NPP_Contingency numeric
@attribute NPP_Predictability numeric
@attribute Biome {'Boreal Forests/Taiga','Deserts & Xeric Shrublands','Flooded Grasslands & Savannas',Ice,'Inland Water',Mangroves,'Mediterranean Forests, Woodlands & Scrub','Montane Grasslands & Shrublands','Temperate Broadleaf & Mixed Forests','Temperate Conifer Forests','Temperate Grasslands, Savannas & Shrublands','Tropical & Subtropical Coniferous Forests','Tropical & Subtropical Dry Broadleaf Forests','Tropical & Subtropical Grasslands, Savannas & Shrublands','Tropical & Subtropical Moist Broadleaf Forests',Tundra}
@attribute Annual_Mean_Temp numeric
@attribute Annual_Precip_Var numeric
@attribute Annual_Temp_Var numeric
@attribute Monthly_Mean_Precip numeric
@attribute Precip_Constancy numeric
@attribute Precip_Contingency numeric
@attribute Precip_Predictability numeric
@attribute Temp_Constancy numeric
@attribute Temp_Contingency numeric
@attribute Temp_Predictability numeric
@attribute cluster {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15}

@data
3,5,4,2,1,Sheep/goats,'Absence or near absence',5000,17,239.590814,103.549537,2124.17,1.602889,2.211113,0.108877,0.248994,0.357871,'Tropical & Subtropical Moist Broadleaf Forests',22.959621,11784954429,0.640477,175745.3144,0.506571,0.235584,0.742155,0.727675,0.083053,0.810729,8
3,6,7,2,1,Sheep/goats,'Absence or near absence',10000,15,279.653466,105.908471,1965.54,2.318419,2.514212,0.104406,0.258159,0.362565,'Tropical & Subtropical Grasslands, Savannas & Shrublands',22.693861,13786380862,0.672123,171380.6937,0.433096,0.267298,0.700393,0.724305,0.079325,0.80363,8
3,5,7,2,1,Sheep/goats,'Absence or near absence',4000,19,222.923935,100.905859,2302.32,0.886192,1.679703,0.11014,0.240171,0.350311,'Tropical & Subtropical Grasslands, Savannas & Shrublands',23.381225,9728650181,0.433664,176269.015,0.558816,0.210654,0.76947,0.753915,0.062687,0.816602,7
3,5,7,2,1,Sheep/goats,'Absence or near absence',27000,17,222.886869,103.601225,2072.81,1.20231,1.662311,0.12992,0.224637,0.354557,'Tropical & Subtropical Grasslands, Savannas & Shrublands',22.342507,9502551210,0.569159,151544.1363,0.49883,0.222353,0.721182,0.737184,0.067522,0.804705,8
3,5,6,2,1,Sheep/goats,'Absence or near absence',7000,18,222.061822,100.219229,2163.2,1.011986,1.411663,0.123546,0.21173,0.335276,'Tropical & Subtropical Grasslands, Savannas & Shrublands',23.050407,9862745723,0.475118,165353.3586,0.530576,0.212984,0.74356,0.740958,0.065393,0.806351,10
3,6,4,2,1,Sheep/goats,'Absence or near absence',50000,39,348.065131,107.934192,1740.08,1.851314,1.945665,0.098087,0.306844,0.404931,'Tropical & Subtropical Grasslands, Savannas & Shrublands',20.7709,21324819304,6.640619,137611.0831,0.262856,0.328662,0.591518,0.539874,0.189076,0.72895,8
3,6,7,2,1,Bovine,'Absence or near absence',40000,37,269.670968,89.446088,1705.97,1.596902,2.389392,0.112975,0.267699,0.380675,'Tropical & Subtropical Grasslands, Savannas & Shrublands',18.326565,15608794007,3.52824,132495.1568,0.280532,0.301813,0.582345,0.588353,0.146362,0.734714,9
6,5,7,2,1,Sheep/goats,'More than sporadically',8500,16,227.374907,95,2058.87,1.215395,1.53478,0.139809,0.228286,0.368096,'Tropical & Subtropical Grasslands, Savannas & Shrublands',21.494762,10431938281,0.929812,137780.0357,0.38973,0.267156,0.656885,0.692357,0.089437,0.781794,8
3,6,4,3,1,Sheep/goats,'Absence or near absence',100000,45,370.093307,129,1852.25,1.161555,2.496554,0.164415,0.284342,0.448757,'Tropical & Subtropical Grasslands, Savannas & Shrublands',17.733889,19280474471,9.597142,121032.2311,0.381024,0.330712,0.711735,0.522632,0.220993,0.743624,8
3,6,6,1,1,Bovine,'More than sporadically',90000,31.543961,333.547479,117.321296,1297.94,0.816138,1.265131,0.227569,0.272371,0.499939,'Tropical & Subtropical Grasslands, Savannas & Shrublands',22.137777,11785963309,12.909242,81029.97103,0.2276,0.295066,0.522665,0.492673,0.22009,0.712763,5
